XRD_sample ● Full Chart; d-I
Wavelength = 1.54059
7.93613	141.00
7.92195	137.00
7.90783	130.00
7.89375	127.00
7.87972	129.00
7.86575	141.00
7.85182	122.00
7.83795	156.00
7.82412	130.00
7.81034	119.00
7.79661	129.00
7.78293	122.00
7.76929	122.00
7.75571	111.00
7.74217	130.00
7.72868	128.00
7.71524	143.00
7.70184	143.00
7.68849	134.00
7.67519	132.00
7.66193	153.00
7.64872	136.00
7.63556	117.00
7.62244	123.00
7.60936	134.00
7.59633	142.00
7.58335	148.00
7.57041	142.00
7.55751	138.00
7.54466	124.00
7.53185	136.00
7.51909	136.00
7.50636	131.00
7.49369	143.00
7.48105	145.00
7.46846	131.00
7.45591	114.00
7.44340	163.00
7.43094	138.00
7.41852	135.00
7.40613	148.00
7.39379	143.00
7.38150	134.00
7.36924	144.00
7.35702	152.00
7.34484	154.00
7.33271	160.00
7.32061	148.00
7.30856	129.00
7.29654	155.00
7.28457	153.00
7.27263	142.00
7.26073	138.00
7.24888	145.00
7.23706	154.00
7.22528	155.00
7.21353	144.00
7.20183	155.00
7.19017	157.00
7.17854	131.00
7.16695	148.00
7.15540	144.00
7.14388	133.00
7.13240	170.00
7.12096	137.00
7.10956	167.00
7.09819	139.00
7.08686	145.00
7.07557	149.00
7.06431	151.00
7.05309	146.00
7.04190	173.00
7.03075	162.00
7.01964	127.00
7.00856	151.00
6.99751	147.00
6.98650	173.00
6.97553	159.00
6.96459	147.00
6.95368	152.00
6.94281	164.00
6.93197	166.00
6.92117	155.00
6.91040	159.00
6.89967	150.00
6.88896	156.00
6.87829	139.00
6.86766	175.00
6.85706	169.00
6.84649	150.00
6.83595	157.00
6.82545	153.00
6.81497	165.00
6.80453	179.00
6.79413	167.00
6.78375	174.00
6.77341	150.00
6.76309	149.00
6.75281	148.00
6.74257	158.00
6.73235	175.00
6.72216	165.00
6.71201	157.00
6.70188	161.00
6.69179	174.00
6.68172	163.00
6.67169	164.00
6.66169	152.00
6.65171	146.00
6.64177	161.00
6.63186	166.00
6.62198	169.00
6.61212	162.00
